N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.895,50000,-0.782249432,0.020030487,-0.001974144,0.032637613,4.79E-05,2.69E-06,0.000367374,1.73E-05,,,,,,,,,,,,,,
2.9,50000,-0.779926664,0.0195185,0.00024258,0.033976567,4.52E-05,1.80E-06,0.000396949,1.49E-05,,,,,,,,,,,,,,
2.905,50000,-0.77771068,0.019573719,-0.003213432,0.034724329,4.54E-05,2.20E-06,0.000415003,1.67E-05,,,,,,,,,,,,,,
2.91,50000,-0.77575324,0.019721493,-3.05E-05,0.032470806,4.59E-05,2.37E-06,0.000361228,1.55E-05,,,,,,,,,,,,,,
2.915,50000,-0.773096528,0.018781454,0.003154128,0.032923975,4.14E-05,2.02E-06,0.000371466,1.49E-05,,,,,,,,,,,,,,
2.92,50000,-0.771099169,0.019621552,0.000604372,0.032987616,4.52E-05,2.17E-06,0.000372488,1.71E-05,,,,,,,,,,,,,,
2.925,50000,-0.76981468,0.019243703,0.001640024,0.032491736,4.32E-05,1.91E-06,0.000360391,1.77E-05,,,,,,,,,,,,,,
2.93,50000,-0.767047192,0.01941697,-0.005265664,0.032339175,4.39E-05,2.16E-06,0.000356319,1.58E-05,,,,,,,,,,,,,,
2.935,50000,-0.765277576,0.019561829,-0.001097032,0.03207907,4.44E-05,1.85E-06,0.000349776,1.55E-05,,,,,,,,,,,,,,
2.94,50000,-0.763303912,0.019395006,0.002050032,0.032265556,4.34E-05,1.84E-06,0.000353515,1.85E-05,,,,,,,,,,,,,,
2.945,50000,-0.761405872,0.018974396,-0.002617444,0.031254513,4.14E-05,2.08E-06,0.00033097,1.37E-05,,,,,,,,,,,,,,
2.95,50000,-0.759321224,0.019362649,0.002313752,0.031561097,4.30E-05,2.11E-06,0.000337075,1.80E-05,,,,,,,,,,,,,,
2.955,50000,-0.757006136,0.019509022,0.000613884,0.031250373,4.35E-05,1.84E-06,0.000329859,1.05E-05,,,,,,,,,,,,,,
2.96,50000,-0.754814128,0.019328462,-0.000199556,0.032855742,4.25E-05,1.77E-06,0.00036406,1.27E-05,,,,,,,,,,,,,,
2.965,50000,-0.754339336,0.019436547,-0.00558112,0.032310635,4.28E-05,2.04E-06,0.000351681,1.53E-05,,,,,,,,,,,,,,
2.97,50000,-0.750732424,0.018964637,0.000747028,0.032693153,4.07E-05,1.48E-06,0.000360018,1.44E-05,,,,,,,,,,,,,,
2.975,50000,-0.749374584,0.019280981,0.00453786,0.030679993,4.20E-05,1.52E-06,0.000316672,1.42E-05,,,,,,,,,,,,,,
2.98,50000,-0.74702052,0.019201479,0.000872092,0.030241824,4.15E-05,1.72E-06,0.000306067,1.31E-05,,,,,,,,,,,,,,
2.985,50000,-0.745663176,0.019011031,0.002623808,0.031732189,4.05E-05,1.73E-06,0.000336625,1.58E-05,,,,,,,,,,,,,,
2.99,50000,-0.743718296,0.019106391,0.00156578,0.031738911,4.08E-05,1.80E-06,0.000336517,1.49E-05,,,,,,,,,,,,,,
2.995,50000,-0.741170968,0.019800467,0.001575112,0.031007081,4.37E-05,1.81E-06,0.000320509,1.39E-05,,,,,,,,,,,,,,
3,50000,-0.738551016,0.018748856,0.00358334,0.028439765,3.90E-05,1.74E-06,0.000269211,1.02E-05,,,,,,,,,,,,,,
