N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.269,TRUE,0.2,0.002,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,,,,,,,,
2.325,100,0.008322724,0.002535224,-0.00026175,-0.001784645,-0.002783329,-0.003646487,-0.004080697,-0.004231487,-0.004344513,0.004589561,0.002848674,0.001637886,0.001022005,0.001445938,0.002204888,0.002409224,0.002712206,0.00298918,,,,,,,,
2.327,100,0.009803605,0.003542553,0.000276105,-0.001798105,-0.003100474,-0.004088763,-0.004690342,-0.005254421,-0.005413763,0.004709451,0.002993334,0.0018882,0.001444429,0.001458976,0.001976887,0.002467853,0.002883529,0.0034048,,,,,,,,
2.329,100,0.013133882,0.005628092,0.001336645,-0.001518882,-0.003706645,-0.005381908,-0.006405461,-0.00732625,-0.007786513,0.004668253,0.003449883,0.002490036,0.00172197,0.001555853,0.001912689,0.002723834,0.003554496,0.004090812,,,,,,,,
2.331,100,0.013522092,0.005802487,0.001353671,-0.001704882,-0.003960408,-0.005611066,-0.006748566,-0.007525934,-0.008063434,0.005818637,0.003774961,0.002497212,0.001745911,0.001797978,0.002510781,0.003237152,0.003930866,0.004372475,,,,,,,,
2.333,100,0.005221539,0.000841408,-0.000991882,-0.001825171,-0.002304645,-0.002396092,-0.002433987,-0.002525171,-0.002443329,0.002857191,0.001587762,0.000979069,0.00099501,0.001136273,0.001322754,0.001397156,0.001561491,0.001585855,,,,,,,,
2.335,100,0.007445566,0.00192175,-0.000678118,-0.00215825,-0.002769829,-0.003101671,-0.003265618,-0.003525618,-0.003764829,0.00351724,0.00220187,0.001443424,0.001198235,0.001303986,0.001553761,0.001785783,0.002007657,0.002214375,,,,,,,,
2.337,100,0.012458211,0.005264132,0.001225316,-0.001417711,-0.003334421,-0.005055342,-0.005970868,-0.006907579,-0.007554289,0.00583424,0.003986283,0.002731814,0.001643032,0.001568762,0.002421458,0.003103558,0.00408163,0.004795486,,,,,,,,
2.339,100,0.012825132,0.005034737,0.000385526,-0.002220132,-0.004086711,-0.005321974,-0.005985921,-0.006543026,-0.006597368,0.005761834,0.00388654,0.002325211,0.001583232,0.001745323,0.002442701,0.003054108,0.003715893,0.004111813,,,,,,,,
2.341,100,0.0105085,0.004048368,0.000692053,-0.001650842,-0.003290974,-0.004552158,-0.005316632,-0.005675711,-0.005758605,0.00566493,0.003774316,0.002413857,0.001413843,0.001729467,0.002587854,0.003086766,0.003483417,0.003880725,,,,,,,,
2.343,100,0.010507013,0.003840697,0.000244776,-0.001804039,-0.003316276,-0.004387066,-0.005073908,-0.005599171,-0.005866671,0.006243058,0.004102006,0.002423715,0.001583684,0.001783641,0.002413674,0.003212117,0.004066447,0.004466108,,,,,,,,
2.345,100,0.007247539,0.001903855,-0.000471408,-0.001909039,-0.00266325,-0.003162724,-0.003498645,-0.003591276,-0.003591276,0.003249027,0.002118713,0.001506779,0.001249287,0.001198064,0.001489278,0.001749791,0.001866313,0.002075744,,,,,,,,
2.347,100,0.01178625,0.004526118,0.000342434,-0.00224375,-0.00375875,-0.004825724,-0.005654408,-0.006175197,-0.006323882,0.005451708,0.00347802,0.002200047,0.001706511,0.00175703,0.002311045,0.002990437,0.003618517,0.003935755,,,,,,,,
2.349,100,0.011316382,0.004475987,0.000829671,-0.001573355,-0.003273882,-0.004780724,-0.005714013,-0.006239408,-0.006544013,0.005769411,0.003938009,0.002431141,0.001385925,0.001591114,0.002502279,0.003110395,0.003780942,0.00435189,,,,,,,,
