N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
50,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,,,,,,,,,,,,,,,,,,
2.77,10000,-0.844351201,0.039402105,-0.0277432,0.084354473,0.00020089,1.17E-05,0.002559114,0.000118505,,,,,,,,,,,,,,
2.78,10000,-0.838394241,0.040120892,0.01865088,0.077753282,0.000206751,9.54E-06,0.002165341,6.78E-05,,,,,,,,,,,,,,
2.79,10000,-0.836118241,0.041369371,-0.0094528,0.077363801,0.000219812,8.58E-06,0.002162648,0.000133388,,,,,,,,,,,,,,
2.8,10000,-0.830262561,0.040787365,-0.01508104,0.068232561,0.000210185,6.59E-06,0.001677603,3.86E-05,,,,,,,,,,,,,,
2.81,10000,-0.825688961,0.040429208,0.01049944,0.075339366,0.000206783,1.16E-05,0.00200486,5.74E-05,,,,,,,,,,,,,,
2.82,10000,-0.813590561,0.0415667,0.0031972,0.067122729,0.000217023,1.15E-05,0.001602907,9.62E-05,,,,,,,,,,,,,,
2.83,10000,-0.810529761,0.040792389,0.00300776,0.076970893,0.000208218,8.97E-06,0.002080819,8.46E-05,,,,,,,,,,,,,,
2.84,10000,-0.809711521,0.039540543,0.0075872,0.071755458,0.000193565,8.73E-06,0.00180018,9.54E-05,,,,,,,,,,,,,,
2.85,10000,-0.806254241,0.040460966,-0.00575408,0.077026322,0.000201865,4.03E-06,0.002087549,8.01E-05,,,,,,,,,,,,,,
2.86,10000,-0.795004161,0.039151278,-0.0072672,0.064219447,0.000188605,5.07E-06,0.001445759,4.70E-05,,,,,,,,,,,,,,
2.87,10000,-0.794297921,0.038005504,-0.00551888,0.068318321,0.000175086,2.87E-06,0.001617668,8.60E-05,,,,,,,,,,,,,,
2.88,10000,-0.792979521,0.040556677,-0.01295152,0.075320548,0.000197541,7.20E-06,0.001961059,9.69E-05,,,,,,,,,,,,,,
2.89,10000,-0.790625441,0.038455861,-0.00912384,0.06376648,0.000176303,7.46E-06,0.001400001,4.02E-05,,,,,,,,,,,,,,
2.9,10000,-0.782004641,0.038344902,0.00397936,0.070066593,0.000175008,6.67E-06,0.001695722,5.86E-05,,,,,,,,,,,,,,
2.91,10000,-0.775659841,0.038003378,0.00221416,0.076644765,0.000169767,4.81E-06,0.002022037,7.93E-05,,,,,,,,,,,,,,
2.92,10000,-0.778410881,0.042002226,-0.00690032,0.07293074,0.000207037,6.49E-06,0.00183677,3.59E-05,,,,,,,,,,,,,,
2.93,10000,-0.767642402,0.038662117,-0.01521792,0.060651266,0.000174804,5.15E-06,0.001261226,2.60E-05,,,,,,,,,,,,,,
2.94,10000,-0.769114881,0.040904058,0.01773576,0.06437122,0.000193091,9.85E-06,0.001409501,6.73E-05,,,,,,,,,,,,,,
2.95,10000,-0.757871841,0.039436781,0.01031008,0.060625783,0.000179124,6.12E-06,0.001236324,5.62E-05,,,,,,,,,,,,,,
2.96,10000,-0.751187841,0.039864228,-0.0012356,0.059549442,0.000182275,6.60E-06,0.001200426,3.96E-05,,,,,,,,,,,,,,
2.97,10000,-0.751206561,0.037625692,-0.00756136,0.063601119,0.000159245,6.92E-06,0.001356737,7.27E-05,,,,,,,,,,,,,,
2.98,10000,-0.748900321,0.038116143,0.00010736,0.068395175,0.000163532,6.09E-06,0.001562064,4.81E-05,,,,,,,,,,,,,,
2.99,10000,-0.742073441,0.038959091,-0.00853264,0.056726918,0.000169326,9.11E-06,0.001080153,6.06E-05,,,,,,,,,,,,,,
3,10000,-0.742857762,0.035941266,0.01346696,0.060141983,0.000143244,1.07E-05,0.001208625,4.78E-05,,,,,,,,,,,,,,
