N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
150,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.5,TRUE,0.2,0.04,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
2.06,5000,-1.618784142,0.017677569,0.187272089,0.029491312,7.38E-05,3.31E-06,0.000422151,2.40E-05,,,,,,,,,,,,,,,,,,
2.07,5000,-1.569171769,0.014590826,-0.053206418,0.012050085,4.91E-05,2.09E-06,7.01E-05,4.09E-06,,,,,,,,,,,,,,,,,,
2.08,5000,-1.56732736,0.013689507,0.243423271,0.022019462,4.33E-05,3.43E-06,0.000232293,1.68E-05,,,,,,,,,,,,,,,,,,
2.09,5000,-1.57172368,0.015334172,-0.347054436,0.035155485,5.35E-05,3.25E-06,0.000590764,9.10E-06,,,,,,,,,,,,,,,,,,
2.1,5000,-1.570134524,0.020359986,-0.22436368,0.037176491,9.34E-05,6.33E-06,0.000654408,3.57E-05,,,,,,,,,,,,,,,,,,
2.11,5000,-1.553778933,0.017674163,-0.045862613,0.02547315,6.93E-05,1.83E-06,0.000303723,2.45E-05,,,,,,,,,,,,,,,,,,
2.12,5000,-1.528902329,0.017639614,-0.059688053,0.048106789,6.90E-05,6.40E-06,0.001091982,4.79E-05,,,,,,,,,,,,,,,,,,
2.13,5000,-1.558090151,0.015861957,-0.590397653,0.02733567,5.51E-05,2.89E-06,0.000350611,1.40E-05,,,,,,,,,,,,,,,,,,
2.14,5000,-1.535534898,0.019347644,0.397355787,0.028106451,8.18E-05,5.67E-06,0.0003724,1.29E-05,,,,,,,,,,,,,,,,,,
2.15,5000,-1.511539093,0.014649485,-0.376957778,0.032138897,4.67E-05,2.28E-06,0.000483184,2.47E-05,,,,,,,,,,,,,,,,,,
2.16,5000,-1.494511004,0.020978624,0.169423236,0.03698459,9.28E-05,4.12E-06,0.000632395,3.67E-05,,,,,,,,,,,,,,,,,,
2.17,5000,-1.492553973,0.020742891,0.299990827,0.059166476,9.06E-05,5.01E-06,0.00160569,5.83E-05,,,,,,,,,,,,,,,,,,
2.18,5000,-1.469602382,0.018413083,-0.043876924,0.058555058,7.25E-05,4.46E-06,0.001579596,0.000110199,,,,,,,,,,,,,,,,,,
2.19,5000,-1.479574418,0.022763597,-0.443203467,0.076740367,0.000107661,4.87E-06,0.002676448,0.000103142,,,,,,,,,,,,,,,,,,
2.2,5000,-1.446777742,0.019214313,0.210063787,0.030138685,7.61E-05,4.72E-06,0.000413107,2.00E-05,,,,,,,,,,,,,,,,,,
2.21,5000,-1.438439662,0.018038336,0.297917031,0.062392472,6.71E-05,2.77E-06,0.001756383,0.000103974,,,,,,,,,,,,,,,,,,
2.22,5000,-1.432311413,0.015315563,0.372234933,0.027591688,4.76E-05,4.13E-06,0.000344314,1.78E-05,,,,,,,,,,,,,,,,,,
2.23,5000,-1.406301156,0.017359384,-0.178197529,0.105079218,6.08E-05,2.15E-06,0.00492095,0.00017819,,,,,,,,,,,,,,,,,,
2.24,5000,-1.399036231,0.018408298,-0.254530667,0.05974091,6.70E-05,3.71E-06,0.00159103,6.91E-05,,,,,,,,,,,,,,,,,,
2.25,5000,-1.39051296,0.016191419,-0.158701529,0.029806041,5.17E-05,2.76E-06,0.000396063,1.22E-05,,,,,,,,,,,,,,,,,,
2.26,5000,-1.34263104,0.021443571,0.067922027,0.079147364,9.02E-05,5.36E-06,0.002766927,0.00010644,,,,,,,,,,,,,,,,,,
2.27,5000,-1.349922773,0.020605548,0.171903342,0.035663547,8.22E-05,4.94E-06,0.000558263,1.04E-05,,,,,,,,,,,,,,,,,,
2.28,5000,-1.329095769,0.017537441,0.057973387,0.049526978,5.89E-05,5.03E-06,0.00106865,5.47E-05,,,,,,,,,,,,,,,,,,
2.29,5000,-1.336723964,0.019122111,0.048322453,0.033144114,6.91E-05,2.52E-06,0.000478917,2.34E-05,,,,,,,,,,,,,,,,,,
2.3,5000,-1.31014544,0.012963176,0.098177618,0.042225705,3.17E-05,1.49E-06,0.000769376,3.52E-05,,,,,,,,,,,,,,,,,,
2.34,5000,-1.242563004,0.021779204,-0.012251413,0.040318553,8.60E-05,3.28E-06,0.000688386,1.83E-05,,,,,,,,,,,,,,,,,,
2.38,5000,-1.191263538,0.01849735,-0.107715858,0.058258067,6.01E-05,1.66E-06,0.001412891,4.81E-05,,,,,,,,,,,,,,,,,,
2.42,5000,-1.141225316,0.01664149,-0.01962512,0.050762974,4.74E-05,2.31E-06,0.001060397,3.57E-05,,,,,,,,,,,,,,,,,,
2.46,5000,-1.097290027,0.013687021,0.019978862,0.043423736,3.08E-05,2.26E-06,0.000755922,2.63E-05,,,,,,,,,,,,,,,,,,
2.5,5000,-1.063799111,0.015681431,-0.01150464,0.035464739,3.93E-05,2.39E-06,0.000498394,3.87E-05,,,,,,,,,,,,,,,,,,
2.54,5000,-1.02401072,0.015570098,0.024564,0.029907091,3.70E-05,2.41E-06,0.000352421,2.38E-05,,,,,,,,,,,,,,,,,,
2.58,5000,-0.993412907,0.014977378,0.015457796,0.032815337,3.30E-05,1.99E-06,0.000416924,1.67E-05,,,,,,,,,,,,,,,,,,
2.62,5000,-0.970070844,0.014891973,0.00537824,0.029788956,3.26E-05,1.03E-06,0.000337957,1.06E-05,,,,,,,,,,,,,,,,,,
2.66,5000,-0.939863307,0.014715853,-0.000226382,0.035960009,3.07E-05,1.28E-06,0.000477425,1.89E-05,,,,,,,,,,,,,,,,,,
2.7,5000,-0.91559184,0.014659139,-0.00059664,0.035444131,2.96E-05,1.87E-06,0.000463628,2.43E-05,,,,,,,,,,,,,,,,,,
2.71,5000,-0.908132907,0.012519963,-0.005133884,0.025935132,2.14E-05,9.01E-07,0.000245578,1.93E-05,,,,,,,,,,,,,,,,,,
2.72,5000,-0.901898844,0.012995665,-0.001708693,0.038127776,2.28E-05,1.35E-06,0.000537558,3.28E-05,,,,,,,,,,,,,,,,,,
2.73,5000,-0.896877156,0.013660808,0.001405156,0.026175453,2.48E-05,2.17E-06,0.000248721,1.59E-05,,,,,,,,,,,,,,,,,,
2.74,5000,-0.892746667,0.013496403,0.016414258,0.024004292,2.43E-05,1.86E-06,0.000210522,1.95E-05,,,,,,,,,,,,,,,,,,
2.75,5000,-0.883460587,0.013298335,-0.009123876,0.02769338,2.34E-05,1.82E-06,0.000279098,1.36E-05,,,,,,,,,,,,,,,,,,
2.76,5000,-0.880794649,0.012704039,0.017067573,0.023809129,2.08E-05,1.41E-06,0.000204137,1.17E-05,,,,,,,,,,,,,,,,,,
2.77,5000,-0.873142827,0.014225585,-0.013413796,0.034832045,2.63E-05,1.62E-06,0.000436302,2.58E-05,,,,,,,,,,,,,,,,,,
2.78,5000,-0.870284658,0.012375932,0.000336409,0.027326209,1.97E-05,1.36E-06,0.000266104,1.25E-05,,,,,,,,,,,,,,,,,,
2.79,5000,-0.866026809,0.013024977,-0.02442016,0.027607062,2.17E-05,8.94E-07,0.00027465,1.43E-05,,,,,,,,,,,,,,,,,,
2.8,5000,-0.859357796,0.013794426,-0.011179449,0.027339938,2.40E-05,8.43E-07,0.000267633,2.28E-05,,,,,,,,,,,,,,,,,,
