N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
1.96,50000.00,-1.75,0.02,-0.91,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.97,50000.00,-1.74,0.02,0.91,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.97,50000.00,-1.74,0.02,0.91,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.98,50000.00,-1.74,0.02,0.91,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.98,50000.00,-1.73,0.02,0.91,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.99,50000.00,-1.73,0.02,-0.90,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.99,50000.00,-1.65,0.02,-0.05,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.00,50000.00,-1.72,0.02,0.90,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.00,50000.00,-1.67,0.04,-0.60,0.24,0.00,0.00,0.03,0.00,,,,,,,,,,,,,,
2.01,50000.00,-1.71,0.02,0.90,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.01,50000.00,-1.71,0.02,-0.89,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.02,50000.00,-1.69,0.02,0.86,0.08,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.02,50000.00,-1.70,0.02,0.89,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.03,50000.00,-1.69,0.02,0.89,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.03,50000.00,-1.66,0.03,0.75,0.18,0.00,0.00,0.02,0.00,,,,,,,,,,,,,,
2.04,50000.00,-1.68,0.02,0.88,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.04,50000.00,-1.68,0.02,0.88,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.05,50000.00,-1.67,0.02,-0.88,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.05,50000.00,-1.67,0.02,-0.88,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.06,50000.00,-1.66,0.02,-0.87,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.06,50000.00,-1.66,0.02,-0.87,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.07,50000.00,-1.66,0.02,0.87,0.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.07,50000.00,-1.65,0.02,0.86,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.08,50000.00,-1.59,0.04,-0.51,0.23,0.00,0.00,0.03,0.00,,,,,,,,,,,,,,
2.08,50000.00,-1.64,0.02,0.86,0.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.09,50000.00,-1.61,0.03,0.74,0.14,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
2.09,50000.00,-1.60,0.04,-0.72,0.19,0.00,0.00,0.02,0.00,,,,,,,,,,,,,,
